id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
138, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:43", "2024-4-10 10:12:43", "12218.261719,-4070.94751", "12230.0,-4102.953613", "0.340907"
139, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:44", "2024-4-10 10:12:44", "12243.897461,-4086.798584", "12230.0,-4091.665283", "0.147251"
140, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:52", "2024-4-10 10:12:52", "12274.892578,-4095.088867", "12582.961914,-3970.041504", "3.324808"
141, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:52", "2024-4-10 10:12:52", "12579.94043,-3966.416748", "12896.533203,-3898.873291", "3.237179"
142, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:53", "2024-4-10 10:12:53", "12895.355469,-3895.63208", "13152.72168,-3880.271484", "2.578246"
143, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:13:3", "2024-4-10 10:13:3", "13151.267578,-3887.168213", "12914.0625,-3928.950439", "2.408566"
144, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:13:4", "2024-4-10 10:13:7", "12915.459961,-3929.283203", "13188.708008,-4135.408203", "3.422748"
145, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:13:10", "2024-4-10 10:13:11", "13167.15625,-4116.614258", "13193.740234,-3733.571289", "3.839644"
146, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:13:13", "2024-4-10 10:13:13", "13196.974609,-3761.24585", "13210.0,-3972.269287", "2.114253"
147, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:13:22", "2024-4-10 10:13:22", "13215.697266,-4017.812988", "13216.744141,-4018.775635", "0.014221"
148, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:25:15", "2024-4-10 10:25:18", "12375.813477,-3038.014404", "12741.399414,-2901.449951", "3.902597"
149, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:25:24", "2024-4-10 10:25:25", "12727.521484,-2902.702881", "12544.848633,-3275.309326", "4.149758"
150, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:25:28", "2024-4-10 10:25:29", "12553.137695,-3268.111328", "12702.655273,-3123.419189", "2.080658"
151, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:25:32", "2024-4-10 10:25:33", "12696.491211,-3134.447998", "12469.210938,-3233.111572", "2.477717"
152, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:25:38", "2024-4-10 10:25:46", "12492.583984,-3222.983154", "12634.90332,-3037.593262", "2.337183"
153, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:25:50", "2024-4-10 10:25:51", "12627.879883,-3050.294678", "12745.458008,-3482.449951", "4.478646"
154, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:25:52", "2024-4-10 10:25:53", "12747.224609,-3481.144287", "12929.489258,-3913.429688", "4.691384"
155, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:25:54", "2024-4-10 10:25:55", "12928.80957,-3912.37085", "13042.674805,-4128.037109", "2.438791"
156, "12", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:26:1", "2024-4-10 10:26:1", "13043.275391,-4108.273438", "12917.963867,-3746.032959", "3.83303"
